,评论ID,机型,规格,初评时间,初评内容,追评时间,追评内容,追评天数
0,1128828530530,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 23:29:34,宝贝不错，我很喜欢。物有所值。配制高，音质好，大小刚好。,,,
1,1128822442742,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 22:16:26,绝了，去年发布会吹的MIUI12.5，到今年三月份发布的手机居然还没得用上。2K+120Hz的屏幕今年算是第一梯队了吧？可惜说好的机皇却没用上可变刷新率。然后就是官方手机壳只有一款，真是不用纠结了。无线充电想试试有没有传说中堪比有线那么快，但是499的售价望而却步。淘宝旗舰店首发居然没有无线充电套餐？还有一个大问题，边缘侧滑返回经常失灵要滑好几次。我用三星S20用了一年都没这毛病。边缘防误触拉到最低了都不管用。能不能给个开关直接把防误触关了谢谢。最后，广告UI名不虚传,,,
2,1128821634035,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 22:05:24,一如既往的喜欢小米，小米加油,,,
3,1128821398431,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 22:04:33,总体感觉还不错，就是听歌的时候出现断点，隔一会又恢复了，不知咋回事，,2021-04-13 00:06:11,安装软件广告，看个小说频繁闪退，听歌断断续续，太失望了啊，屏幕看的倒是挺舒服的早知道再等等华为新机了,1.0
4,1128380373116,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 21:29:21,用了好几天了，从电量来说，我觉着一般，由于120的屏幕和888处理器，耗电还是很快的，我是一天两充，外观设计比较好，就是手指很容易碰到摄像头，很不舒服，还有这个拍照，成像比较清晰，那个50倍放大之后的图片就很模糊，充电超级快超级快超级快！！！我买的是紫色，颜值还好，屏下指纹太迟钝了，经常五次错误输密码，屏下指纹差评，处理速度很快，反应很灵敏。发热的话，很随机   就是一天发热会很热，有时候又不是很热，总得来讲，我想换一个电量抗的住的。11Pro中规中矩吧。,,,
5,1128817654316,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 21:27:15,拍照效果：拍照效果还不错，超大底，黑色挺惊艳的，就是沾指纹，电池挺耐用的充电也快。就是有点厚，自带的膜好粘灰。这是我第一个小米手机，整体上还是很喜欢的,,,
6,1128372297244,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 20:13:59,其他特色：曲面屏挺喜欢  音质确实棒  没有其他需求  总之觉得挺好  家里人一直用的小米  拍照效果：拍照效果是挺不错  喜欢拍照的可以试试  我拍照拍的少  能一般就行了 电池续航：没有想象中的耐用  只能说一般  我以为一条冲一次能玩很久的游戏  不玩游戏正常用一天还是可以 运行速度：之前用的k20p  感觉挺快  可能旧手机快两年了没这么快了  用着挺流畅  不错,,,
7,1128371189723,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 20:06:44,5000毫安的电池用着也太舒适了吧，120hz屏真的丝滑，还有这个暗光拍摄，吴迪,,,
8,1128369113872,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 19:50:03,系统广告太多了，真是**！而且不小心点了图片自动开始下载以后，竟然没有按钮可以关闭下载，只能下载完了再卸载！我也用过其它国产手机，别人也有广告，但小米系统是最**的！鉴定完毕！,,,
9,1128806406522,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 19:49:52,续航问题巨大，新手机不打游戏，用用qq要一天两充。,,,
10,1128368393168,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 19:40:41,拍照还是很可以 电池续航比苹果强太多 小米还是可以的 屏幕很大很清楚 总体来说很不错 充电可太快了,,,
11,1127935352016,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 19:39:14,拍照效果：GN2大底拍出来真的清晰 电池续航：比11好太多 运行速度：完美,2021-04-12 19:40:54,散热也好，绿色非常好看。,5.0
12,1128368081406,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-12 19:38:09,紫色很耐看！从一开始的小米2s开始一直到现在的11  一直在用小米  奈斯。,,,
13,1128804134694,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 19:28:37,很赞，第一时间预定，付了尾款当天就收到！只是实物绿色偏蓝，更近似孔雀绿。不过看在功能非常契合我的要求份上，颜色什么的都不重要啦！,,,
14,1128801918781,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-12 19:09:26,紫色好好看,,,
15,1127930648806,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 18:59:42,早上拍的下午就到了，真的快，也就四个小时，纠结是pro还是11，1000块差在哪里，相机我其实不怎么用，最后还是选了pro，要买就买pro版，厚重也有质感！奉上首照一张！,,,
16,1128363065839,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 18:55:11,小米手机是功能最全的手机品牌，希望小米手机可以越来越好!期待未来雷军的小米汽车！,,,
17,1128360885742,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 18:35:11,物流很快，手机很好。没有想象的那么发热&hellip;用的蛮舒服的。,,,
18,1129197671171,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 18:27:55,小米手机一直是我的最爱 现在小米的销售可以提前预定非常不错，卖家发货很给力，速度超出想象 给买家一个五星好评。下次继续合作。,,,
19,1128796210181,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 18:17:27,物流超快，小米给力,,,
20,1128793666459,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 17:59:34,就这么说吧，玩个游戏每次都我加载最快真的没意思,,,
21,1129191143531,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 17:39:06,"收到新小米11pro手机 ,使用几天后感觉很不错，该机通话及播放音质很清晰，运行稳定，速度之快，显示之美。对于爱好摄像及视频来说较为理想之机，电池续航方面有些变化，还是值得拥有，店家发货快捷，物流给力。",,,
22,1128352965483,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-12 17:32:25,背板手感极好，拍照功能夜景体验也不错,,,
23,1128346949409,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 16:49:27,包装很完美，颜值很高，当天就到了，几年的米粉了，全家人都是小米手机，从高中接触小米，现在已经工作了，陪伴小米六七年了，小米越来越强大了，果然没让我失望啊 电池续航：上班的话基本充一次电用一天 运行速度：很流畅，很舒服,,,
24,1128779778804,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 16:26:24,给孩子买的，非常好用，他很喜欢。拍照也很不错！,,,
