日期,值,涨跌额,涨跌幅
2020-04-23,2020.05,-123.16,-5.75%
2020-04-16,2143.21,-105.5,-4.69%
2020-04-09,2248.71,-106.6,-4.53%
2020-04-02,2355.31,-84.33,-3.46%
2020-03-26,2439.64,-108.73,-4.27%
2020-03-19,2548.37,-63.63,-2.44%
2020-03-12,2612.0,75.02,2.96%
2020-03-05,2536.98,155.68,6.54%
2020-02-27,2381.3,230.67,10.73%
2020-02-20,2150.63,251.61,13.25%
2020-02-13,1899.02,258.6,15.76%
2020-02-06,1640.42,130.49,8.64%
2020-02-02,1509.93,317.78,26.66%
2020-01-22,1192.15,161.73,15.70%
2020-01-16,1030.42,119.57,13.13%
2020-01-09,910.85,76.96,9.23%
2020-01-02,833.89,53.82,6.90%
2019-12-26,780.07,23.4,3.09%
2019-12-19,756.67,4.96,0.66%
2019-12-12,751.71,-12.25,-1.60%
2019-12-05,763.96,0.14,0.02%
2019-11-28,763.82,-22.1,-2.81%
2019-11-21,785.92,-53.12,-6.33%
2019-11-14,839.04,-53.43,-5.99%
2019-11-07,892.47,-49.99,-5.30%
2019-10-31,942.46,-49.04,-4.95%
2019-10-24,991.5,-59.91,-5.70%
2019-10-17,1051.41,-76.07,-6.75%
2019-10-10,1127.48,39.6,3.64%
2019-09-26,1087.88,-57.88,-5.05%
2019-09-19,1145.76,-19.71,-1.69%
2019-09-12,1165.47,-52.27,-4.29%
2019-09-05,1217.74,-35.79,-2.86%
2019-08-29,1253.53,-29.41,-2.29%
2019-08-22,1282.94,-11.0,-0.85%
2019-08-15,1293.94,-11.77,-0.90%
2019-08-08,1305.71,15.72,1.22%
2019-08-01,1289.99,29.75,2.36%
2019-07-25,1260.24,36.59,2.99%
2019-07-18,1223.65,30.92,2.59%
2019-07-11,1192.73,18.2,1.55%
2019-07-04,1174.53,16.19,1.40%
2019-06-27,1158.34,10.16,0.88%
2019-06-20,1148.18,14.72,1.30%
2019-06-13,1133.46,33.45,3.04%
2019-06-06,1100.01,-12.48,-1.12%
2019-05-30,1112.49,-19.36,-1.71%
2019-05-23,1131.85,-41.98,-3.58%
2019-05-16,1173.83,-48.75,-3.99%
2019-05-09,1222.58,-26.96,-2.16%
2019-05-06,1249.54,0.0,0.00%
