日期,值,涨跌额,涨跌幅
2020-04-23,110.38,-5.91,-5.08%
2020-04-16,116.29,-8.12,-6.53%
2020-04-09,124.41,-5.82,-4.47%
2020-04-02,130.23,-6.21,-4.55%
2020-03-26,136.44,-6.62,-4.63%
2020-03-19,143.06,-6.53,-4.37%
2020-03-12,149.59,-1.31,-0.87%
2020-03-05,150.9,0.75,0.50%
2020-02-27,150.15,3.58,2.44%
2020-02-20,146.57,10.52,7.73%
2020-02-13,136.05,5.87,4.51%
2020-02-06,130.18,5.27,4.22%
2020-02-02,124.91,17.75,16.56%
2020-01-22,107.16,6.21,6.15%
2020-01-16,100.95,3.13,3.20%
2020-01-09,97.82,1.37,1.42%
2020-01-02,96.45,0.05,0.05%
2019-12-26,96.4,0.41,0.43%
2019-12-19,95.99,-1.86,-1.90%
2019-12-12,97.85,-1.94,-1.94%
2019-12-05,99.79,-1.35,-1.33%
2019-11-28,101.14,-2.37,-2.29%
2019-11-21,103.51,-2.14,-2.03%
2019-11-14,105.65,0.54,0.51%
2019-11-07,105.11,-1.53,-1.43%
2019-10-31,106.64,0.29,0.27%
2019-10-24,106.35,0.69,0.65%
2019-10-17,105.66,-5.3,-4.78%
2019-10-10,110.96,6.48,6.20%
2019-09-26,104.48,-3.59,-3.32%
2019-09-19,108.07,1.87,1.76%
2019-09-12,106.2,-1.75,-1.62%
2019-09-05,107.95,-2.91,-2.62%
2019-08-29,110.86,0.34,0.31%
2019-08-22,110.52,-0.27,-0.24%
2019-08-15,110.79,-0.63,-0.57%
2019-08-08,111.42,0.72,0.65%
2019-08-01,110.7,2.49,2.30%
2019-07-25,108.21,-0.51,-0.47%
2019-07-18,108.72,1.67,1.56%
2019-07-11,107.05,0.46,0.43%
2019-07-04,106.59,-0.33,-0.31%
2019-06-27,106.92,-2.85,-2.60%
2019-06-20,109.77,1.24,1.14%
2019-06-13,108.53,2.98,2.82%
2019-06-06,105.55,2.6,2.53%
2019-05-30,102.95,1.78,1.76%
2019-05-23,101.17,-3.65,-3.48%
2019-05-16,104.82,0.95,0.91%
2019-05-09,103.87,0.95,0.92%
2019-05-06,102.92,0.0,0.00%
