日期,值,涨跌额,涨跌幅
2020-04-23,141.92,-4.31,-2.95%
2020-04-16,146.23,-0.53,-0.36%
2020-04-09,146.76,0.72,0.49%
2020-04-02,146.04,0.75,0.52%
2020-03-26,145.29,-3.54,-2.38%
2020-03-19,148.83,-8.71,-5.53%
2020-03-12,157.54,-1.37,-0.86%
2020-03-05,158.91,11.24,7.61%
2020-02-27,147.67,14.02,10.49%
2020-02-20,133.65,10.05,8.13%
2020-02-13,123.6,5.47,4.63%
2020-02-06,118.13,3.57,3.12%
2020-02-02,114.56,9.69,9.24%
2020-01-22,104.87,1.08,1.04%
2020-01-16,103.79,0.36,0.35%
2020-01-09,103.43,0.06,0.06%
2020-01-02,103.37,0.59,0.57%
2019-12-26,102.78,-0.41,-0.40%
2019-12-19,103.19,-0.37,-0.36%
2019-12-12,103.56,0.27,0.26%
2019-12-05,103.29,-1.72,-1.64%
2019-11-28,105.01,-1.92,-1.80%
2019-11-21,106.93,-1.84,-1.69%
2019-11-14,108.77,-1.43,-1.30%
2019-11-07,110.2,-1.42,-1.27%
2019-10-31,111.62,-0.21,-0.19%
2019-10-24,111.83,0.34,0.30%
2019-10-17,111.49,-0.27,-0.24%
2019-10-10,111.76,3.07,2.82%
2019-09-26,108.69,0.74,0.69%
2019-09-19,107.95,0.37,0.34%
2019-09-12,107.58,-1.21,-1.11%
2019-09-05,108.79,-0.24,-0.22%
2019-08-29,109.03,-0.68,-0.62%
2019-08-22,109.71,-1.23,-1.11%
2019-08-15,110.94,-0.81,-0.72%
2019-08-08,111.75,-0.64,-0.57%
2019-08-01,112.39,-0.52,-0.46%
2019-07-25,112.91,-0.65,-0.57%
2019-07-18,113.56,-1.21,-1.05%
2019-07-11,114.77,0.54,0.47%
2019-07-04,114.23,-1.0,-0.87%
2019-06-27,115.23,-0.97,-0.83%
2019-06-20,116.2,-0.45,-0.39%
2019-06-13,116.65,-0.45,-0.38%
2019-06-06,117.1,-0.5,-0.43%
2019-05-30,117.6,-0.41,-0.35%
2019-05-23,118.01,0.58,0.49%
2019-05-16,117.43,1.26,1.08%
2019-05-09,116.17,-1.32,-1.12%
2019-05-06,117.49,0.0,0.00%
