日期,值,涨跌额,涨跌幅
2020-04-23,349.83,-21.13,-5.70%
2020-04-16,370.96,-15.38,-3.98%
2020-04-09,386.34,-12.76,-3.20%
2020-04-02,399.1,-5.24,-1.30%
2020-03-26,404.34,-2.79,-0.69%
2020-03-19,407.13,-8.26,-1.99%
2020-03-12,415.39,21.81,5.54%
2020-03-05,393.58,26.43,7.20%
2020-02-27,367.15,30.65,9.11%
2020-02-20,336.5,44.63,15.29%
2020-02-13,291.87,35.43,13.82%
2020-02-06,256.44,15.35,6.37%
2020-02-02,241.09,32.79,15.74%
2020-01-22,208.3,20.1,10.68%
2020-01-16,188.2,12.71,7.24%
2020-01-09,175.49,5.31,3.12%
2020-01-02,170.18,5.28,3.20%
2019-12-26,164.9,-0.97,-0.58%
2019-12-19,165.87,0.13,0.08%
2019-12-12,165.74,-11.65,-6.57%
2019-12-05,177.39,-3.76,-2.08%
2019-11-28,181.15,-2.11,-1.15%
2019-11-21,183.26,-5.12,-2.72%
2019-11-14,188.38,-12.92,-6.42%
2019-11-07,201.3,-10.21,-4.83%
2019-10-31,211.51,-9.36,-4.24%
2019-10-24,220.87,-17.95,-7.52%
2019-10-17,238.82,-15.76,-6.19%
2019-10-10,254.58,13.87,5.76%
2019-09-26,240.71,0.35,0.15%
2019-09-19,240.36,0.87,0.36%
2019-09-12,239.49,-3.67,-1.51%
2019-09-05,243.16,-2.31,-0.94%
2019-08-29,245.47,-5.14,-2.05%
2019-08-22,250.61,-4.27,-1.68%
2019-08-15,254.88,-6.98,-2.67%
2019-08-08,261.86,2.67,1.03%
2019-08-01,259.19,8.12,3.23%
2019-07-25,251.07,7.65,3.14%
2019-07-18,243.42,2.69,1.12%
2019-07-11,240.73,6.98,2.99%
2019-07-04,233.75,5.83,2.56%
2019-06-27,227.92,2.65,1.18%
2019-06-20,225.27,4.52,2.05%
2019-06-13,220.75,10.12,4.80%
2019-06-06,210.63,3.1,1.49%
2019-05-30,207.53,2.36,1.15%
2019-05-23,205.17,-2.15,-1.04%
2019-05-16,207.32,-7.95,-3.69%
2019-05-09,215.27,2.48,1.17%
2019-05-06,212.79,0.0,0.00%
