日期,值,涨跌额,涨跌幅
2020-04-23,338.31,-28.97,-7.89%
2020-04-16,367.28,-11.34,-3.00%
2020-04-09,378.62,-23.31,-5.80%
2020-04-02,401.93,-13.45,-3.24%
2020-03-26,415.38,-25.53,-5.79%
2020-03-19,440.91,-17.86,-3.89%
2020-03-12,458.77,5.63,1.24%
2020-03-05,453.14,15.06,3.44%
2020-02-27,438.08,39.42,9.89%
2020-02-20,398.66,48.21,13.76%
2020-02-13,350.45,67.87,24.02%
2020-02-06,282.58,30.06,11.90%
2020-02-02,252.52,79.98,46.35%
2020-01-22,172.54,31.12,22.01%
2020-01-16,141.42,21.64,18.07%
2020-01-09,119.78,14.25,13.50%
2020-01-02,105.53,6.59,6.66%
2019-12-26,98.94,5.61,6.01%
2019-12-19,93.33,1.09,1.18%
2019-12-12,92.24,0.15,0.16%
2019-12-05,92.09,0.85,0.93%
2019-11-28,91.24,-11.95,-11.58%
2019-11-21,103.19,-14.87,-12.60%
2019-11-14,118.06,-12.17,-9.35%
2019-11-07,130.23,-8.12,-5.87%
2019-10-31,138.35,-9.64,-6.51%
2019-10-24,147.99,-11.79,-7.38%
2019-10-17,159.78,-5.98,-3.61%
2019-10-10,165.76,13.21,8.66%
2019-09-26,152.55,-7.93,-4.94%
2019-09-19,160.48,-2.11,-1.30%
2019-09-12,162.59,-6.94,-4.09%
2019-09-05,169.53,-7.18,-4.06%
2019-08-29,176.71,-2.15,-1.20%
2019-08-22,178.86,0.94,0.53%
2019-08-15,177.92,2.78,1.59%
2019-08-08,175.14,3.1,1.80%
2019-08-01,172.04,3.7,2.20%
2019-07-25,168.34,10.21,6.46%
2019-07-18,158.13,10.94,7.43%
2019-07-11,147.19,6.57,4.67%
2019-07-04,140.62,3.42,2.49%
2019-06-27,137.2,1.18,0.87%
2019-06-20,136.02,3.23,2.43%
2019-06-13,132.79,7.65,6.11%
2019-06-06,125.14,-5.38,-4.12%
2019-05-30,130.52,-4.92,-3.63%
2019-05-23,135.44,-8.45,-5.87%
2019-05-16,143.89,-8.23,-5.41%
2019-05-09,152.12,-10.87,-6.67%
2019-05-06,162.99,0.0,0.00%
