日期,值,涨跌额,涨跌幅
2020-04-23,553400.0,-12000.0,-2.12%
2020-04-16,565400.0,-7000.0,-1.22%
2020-04-09,572400.0,11700.0,2.09%
2020-04-02,560700.0,24400.0,4.55%
2020-03-26,536300.0,5400.0,1.02%
2020-03-19,530900.0,6300.0,1.20%
2020-03-12,524600.0,34200.0,6.97%
2020-03-05,490400.0,45000.0,10.10%
2020-02-27,445400.0,32900.0,7.98%
2020-02-20,412500.0,40200.0,10.80%
2020-02-13,372300.0,37500.0,11.20%
2020-02-06,334800.0,5000.0,1.52%
2020-01-31,329800.0,28600.0,9.50%
2020-01-22,301200.0,43600.0,16.93%
2020-01-16,257600.0,47500.0,22.61%
2020-01-09,210100.0,40400.0,23.81%
2020-01-02,169700.0,19000.0,12.61%
2019-12-26,150700.0,-2000.0,-1.31%
2019-12-19,152700.0,-1200.0,-0.78%
2019-12-12,153900.0,9800.0,6.80%
2019-12-05,144100.0,1300.0,0.91%
2019-11-28,142800.0,17600.0,14.06%
2019-11-21,125200.0,-15000.0,-10.70%
2019-11-14,140200.0,-11900.0,-7.82%
2019-11-07,152100.0,-29300.0,-16.15%
2019-10-31,181400.0,-2100.0,-1.14%
2019-10-24,183500.0,-36300.0,-16.52%
2019-10-17,219800.0,-23300.0,-9.58%
2019-10-10,243100.0,-14700.0,-5.70%
2019-09-26,257800.0,-58400.0,-18.47%
2019-09-19,316200.0,-19500.0,-5.81%
2019-09-12,335700.0,-15300.0,-4.36%
2019-09-05,351000.0,-17300.0,-4.70%
2019-08-29,368300.0,-11900.0,-3.13%
2019-08-22,380200.0,-1900.0,-0.50%
2019-08-15,382100.0,-10900.0,-2.77%
2019-08-08,393000.0,11000.0,2.88%
2019-08-01,382000.0,18800.0,5.18%
2019-07-25,363200.0,29500.0,8.84%
2019-07-18,333700.0,9200.0,2.84%
2019-07-11,324500.0,-6400.0,-1.93%
2019-07-04,330900.0,11800.0,3.70%
2019-06-27,319100.0,28600.0,9.85%
2019-06-20,290500.0,6700.0,2.36%
2019-06-13,283800.0,11000.0,4.03%
2019-06-06,272800.0,-6300.0,-2.26%
2019-05-30,279100.0,-1200.0,-0.43%
2019-05-23,280300.0,-9300.0,-3.21%
2019-05-16,289600.0,13200.0,4.78%
2019-05-09,276400.0,24600.0,9.77%
2019-05-06,251800.0,0.0,0.00%
